Title,AxialLength,TipLength,CurvatuerCorrected,Width,LWRatio,TailLength,TailPct,Shape,BodyLength,TailBodyRatio,Volume,diameter1,diameter2,diameter3,diameter4,diameter5,diameter6,diameter7,diameter8,diameter9,diameter10,diameter11,diameter12,diameter13,diameter14,diameter15,diameter16,diameter17,diameter18,diameter19,diameter20,diameter21,diameter22,diameter23,diameter24,diameter25,diameter26,diameter27,diameter28,diameter29,diameter30,diameter31,sdRad1,sdRad2,sdRad3,sdRad4,sdRad5,sdRad6,sdRad7,sdRad8,sdRad9,sdRad10,sdRad11,sdRad12,sdRad13,sdRad14,sdRad15,sdRad16,sdRad17,sdRad18,sdRad19,sdRad20,sdRad21,sdRad22,sdRad23,sdRad24,sdRad25,sdRad26,sdRad27,sdRad28,AverageCrossSectionRoundness
_1013_NIR_V1_O0390.tif,5.138274597,4.936222487,1.076592224,1.698225891,2.686684378,0.226218177,0.044026097,U.S. No. 1,4.91205642,0.04605366,6.147482805,0,0,0.125347408,0.193700256,0.315831279,0.513576573,0.820184827,1.04096482,1.265396435,1.453859146,1.564957286,1.62204048,1.698225891,1.698070134,1.620569777,1.527013434,1.492427387,1.481480907,1.472742704,1.482689356,1.460190905,1.452143603,1.478282441,1.451035764,1.343327372,1.189491347,1.060032578,1.016082697,0.692003183,0.44599476,0,0.52616003,0.660035455,1.303936284,2.44206995,4.420865218,4.399650427,4.538175829,5.006152867,5.225325493,5.590225424,5.554444591,5.516730357,5.038765338,4.514183735,4.394967414,4.357234221,3.308508318,2.779410928,3.038451086,3.07427575,3.199482051,3.382414398,3.802460885,4.629169153,4.360063892,5.307912062,4.115301498,3.113972372,3.842869465
_1013_NIR_V1_O0391.tif,7.40797646,7.108097923,1.072863842,1.791592481,3.750748042,0.19853315,0.026799916,Cull,7.20944331,0.027537931,10.71684431,0,0,0.542274538,0.751633739,0.962719144,1.171571103,1.362662442,1.505255371,1.596969867,1.690705529,1.769980115,1.791592481,1.753836138,1.717343478,1.667734145,1.593050521,1.501292453,1.421121893,1.366462968,1.31159613,1.293340874,1.233196554,1.131610829,0.999985469,0.880023781,0.775729492,0.647539409,0.463341688,0.258082449,0.1200104,0,3.526379812,5.489818694,5.285283182,3.523922736,2.782009495,2.553326108,2.513505293,2.913296271,2.307351831,1.222091001,1.250954711,1.845085522,1.559900202,0.913852759,0.654729132,0.814143343,1.006461874,1.318474083,1.100228415,1.230988565,0.793908574,0.830630203,0.59847846,0.253378617,0.37172319,0.909816326,0.663168501,0.326623759,1.734268952
_1013_NIR_V1_O0392.tif,6.720229898,5.98917286,1.364629033,1.879274683,1.749080181,2.234691394,0.332531986,U.S. No. 1,4.485538504,0.498199133,5.605697933,0,0,0.03726737,0.070491282,0.119872395,0.246757336,0.640406809,0.92305108,1.196070693,1.398415997,1.577207783,1.712742526,1.83024988,1.879274683,1.857439038,1.765232843,1.632513058,1.466103415,1.063591598,0.429926965,0.147880351,0.136186384,0.107928117,0.112448917,0.121432005,0.109185411,0.124611066,0.120839318,0.092648953,0.073774075,0,0.045394027,0.117894734,0.224159589,0.585973586,3.400905531,2.28044268,1.720124374,1.886788061,1.370864305,1.580509509,1.392431038,2.481143412,2.415544119,2.109101093,3.727907852,5.758005654,6.684026691,2.792232301,0.52716071,0.510504521,0.362850215,0.594267534,0.825917169,0.607976498,0.648372195,0.747770898,0.628400361,0.547275087,1.663355134
_1013_NIR_V1_O0393.tif,5.528271031,5.283160061,1.072325523,1.643184589,2.975874736,0.284694119,0.051497858,Cull,5.243576912,0.054293877,6.225013021,0,0,0.133831283,0.24420417,0.408423101,0.538938944,0.608027201,0.640662295,0.676062544,0.689641033,0.798120423,0.962756026,1.120230962,1.240928871,1.333390277,1.412781542,1.478041138,1.53731257,1.586087481,1.626093736,1.643184589,1.625497484,1.603013367,1.540058643,1.448824245,1.325860338,1.124441585,0.886611124,0.669378069,0.447676388,0,0.718351662,1.116860243,1.79951007,1.761756478,1.0448402,0.569187005,0.768271547,1.131428901,0.92182171,0.929725972,1.101183883,1.24606015,0.911057529,1.009355191,1.02340999,1.765997521,2.345310076,2.127135638,2.018674295,1.788527832,2.901321897,2.729160863,3.008457735,3.364362831,3.768250485,4.257914525,3.740367022,2.283129221,1.862551088
_1013_NIR_V1_O0394.tif,8.917336845,8.073184327,1.13627503,2.165154819,3.544317821,0.197565894,0.022155258,Cull,8.719770951,0.022657234,17.68038767,0,0,0.252945992,0.520347294,0.910297947,1.242063284,1.517682888,1.760797779,1.928511293,2.043277685,2.110345038,2.137831524,2.144622671,2.155408072,2.165154819,2.137335019,2.082560118,2.007876778,1.896854878,1.763207747,1.652902755,1.603557713,1.612860018,1.53717638,1.340068684,1.11012449,0.921951495,0.674026938,0.427268484,0.199111575,0,0.850217646,1.421399826,2.432688883,0.95851615,0.775881373,1.45904624,1.583636124,1.554065761,1.744415768,1.857490352,1.470791384,1.428324407,1.883544448,2.581103453,3.053244138,2.959894182,2.752364279,2.79312132,3.466137965,4.857781865,6.777805468,7.84803043,7.532631403,5.877257611,5.209538913,4.225583058,2.818431325,1.286308747,2.98068759
_1013_NIR_V1_O0395.tif,5.681168877,5.447076759,1.079240247,1.551971463,3.272920939,0.19918974,0.035061401,Cull,5.481979137,0.03633537,7.567122116,0,0,0.125160242,0.296688604,0.551629435,0.772988469,0.913688358,1.056786451,1.207287963,1.301405411,1.379940915,1.422739205,1.433943207,1.451831063,1.447651303,1.484898654,1.533395146,1.550561232,1.542399016,1.541922175,1.551971463,1.529872981,1.467898194,1.384483549,1.264296981,1.09259278,0.883827519,0.678577654,0.442663011,0.256356768,0,0.376393089,0.697130803,1.344839405,1.53334065,1.783806409,1.904619554,2.733504244,2.579890083,2.937877655,2.403481283,2.340304423,1.695467213,0.731851562,0.485736413,0.785187985,0.777679698,0.822962573,0.980660193,0.667748124,1.170881524,1.049751608,0.434615337,1.188039508,2.083534038,2.46682719,3.228531245,2.454609219,1.28950258,1.533884772
_1013_NIR_V1_O0396.tif,5.108448185,4.961303596,1.062361983,1.803017217,2.572554961,0.180829918,0.035398209,U.S. No. 1,4.927618268,0.036697225,7.19858646,0,0,0.313236331,0.595513236,0.860144486,1.002931822,1.225585025,1.386800032,1.519029143,1.626008544,1.727826235,1.781014728,1.803017217,1.775317608,1.711539977,1.644740098,1.606727405,1.587341979,1.561668396,1.50072777,1.38621072,1.23745357,1.080653872,0.907528319,0.763882794,0.647218708,0.539542872,0.371490274,0.202086227,0.105673482,0,2.631740555,4.933323648,6.238349634,4.59756174,4.104143093,3.77347076,3.522265938,3.72828085,4.110686898,4.158782194,4.145382796,4.039036116,3.347662525,2.359772629,1.852139335,2.189000701,1.01102166,1.244358592,1.321295002,1.630755912,1.854470028,0.892874079,0.608879295,0.626110714,0.792854745,0.547037942,0.296628185,0.227299922,2.528042339
_1013_NIR_V1_O0397.tif,3.269053459,3.112971448,1.07836991,1.442724053,2.043948834,0.08909788,0.027254947,U.S. No. 1,3.179955579,0.028018593,2.375389799,0,0,0.318935392,0.533195336,0.744928002,0.674507942,0.804311346,0.923133233,1.017038535,1.11890069,1.231516928,1.271029228,1.323140961,1.399837818,1.43208818,1.442724053,1.42717539,1.379328685,1.32774116,1.267798299,1.225732143,1.183963262,1.111933622,1.011479488,0.799159422,0.502135882,0.316337901,0.536231157,0.140678859,0.098070117,0,2.720945701,5.0849596,6.619886916,4.866115365,4.550785423,4.657564217,4.172006364,3.876259184,3.59007764,4.128222303,4.391697127,4.605674958,4.575070221,4.507813495,4.178208136,4.206023596,3.943951412,3.967563557,3.130662199,3.895940311,4.496453031,5.265786058,4.754324279,2.743834581,1.371646366,4.843476985,0.689540914,0.491519001,3.940214605
_1013_NIR_V1_O0398.tif,6.250861418,5.784733241,1.104671014,1.686983816,3.30442463,0.092860839,0.014855687,Cull,6.158000579,0.015079706,8.054026494,0,0,0.507035215,0.818664476,1.184741642,1.238975041,1.357358331,1.531503438,1.624916804,1.641201816,1.686983816,1.63470295,1.598101655,1.584931466,1.557349991,1.511046213,1.473767417,1.457591206,1.402401678,1.33613244,1.24534845,1.128020754,1.039710121,0.959786512,0.894319556,0.831636152,0.792405069,0.847914404,0.46991362,0.206583974,0,2.781090249,5.38852416,6.5589844,4.280485747,4.068628194,3.278232743,2.744391486,3.278612507,2.91502188,2.709020296,2.413996888,1.840798796,1.530523183,1.04562517,1.664648385,2.203234844,2.088557371,1.815520738,1.912309929,1.457977909,0.972259932,0.562344258,0.668576173,1.580346321,1.397503161,5.19620415,3.292153714,1.444802001,2.538941949
_1013_NIR_V1_O0399.tif,7.026135951,6.159077796,1.143262447,1.772044239,3.276236798,0.388769708,0.055331936,Cull,6.637366243,0.058572888,7.384151502,0,0,0.266816327,0.366527662,0.522069832,0.690872082,0.842860594,0.967487434,1.047823127,1.10650987,1.192894547,1.318754716,1.448037492,1.566362191,1.651923783,1.692678274,1.722117238,1.772044239,1.764860926,1.664633054,1.491652016,1.26817705,1.024637732,0.817687782,0.717638456,0.638843379,0.556204557,0.421514042,0.252801577,0.13946443,0,1.286693393,2.179850284,2.810069351,2.931954477,2.999230161,1.984408125,1.560572862,1.212936847,1.30247753,1.771224148,1.869261133,2.041934367,2.098553295,2.313121638,3.35265546,5.393988454,6.507079492,6.258883767,5.338928148,4.683545144,3.652475301,2.296178239,1.8828847,1.832968664,1.696306186,1.004196233,0.621316982,0.294084194,2.613492092
_1013_NIR_V1_O0400.tif,4.942458707,4.820601365,1.059380715,1.803146301,2.498182281,0.170384906,0.034473714,U.S. No. 1,4.772073801,0.035704583,7.691288213,0,0,0.309190369,0.586590409,0.894146945,1.120389335,1.324195029,1.467181266,1.571980973,1.654878062,1.700991146,1.707652274,1.721237547,1.752657522,1.791059916,1.803146301,1.795122344,1.753319015,1.669222049,1.550685795,1.406716262,1.23361379,1.074486135,0.911154402,0.764714462,0.637827665,0.515248329,0.358259848,0.203151126,0.098791537,0,1.703685203,3.320544992,4.227632635,0.643208667,0.919986688,1.172021384,0.75944428,1.166904782,1.416061825,1.259290786,0.645074257,1.03527628,1.035240703,0.932546697,0.842078636,0.895817256,1.156802535,1.744558915,2.287166616,2.74924399,2.490504854,2.485255429,1.856527425,1.76918301,1.331650161,0.542527352,0.296412199,0.14361631,1.458152281
_1013_NIR_V1_O0401.tif,5.440769665,5.133401797,1.091815036,1.958747296,2.413113745,0.280109346,0.051483405,Cull,5.160660319,0.054277811,9.017915539,0,0,0.205422955,0.3690722,0.48386488,0.575624835,0.640874896,0.713356139,0.799408897,0.906459865,1.043217898,1.216598663,1.398260547,1.583334407,1.731280437,1.831910793,1.892548437,1.933047645,1.932816747,1.946258012,1.958747296,1.900401062,1.833257537,1.742968327,1.611848741,1.434785641,1.216164349,0.953642748,0.651914517,0.395558996,0,1.408745162,2.217522075,2.385855132,1.943311064,1.584592875,1.304759688,1.231265638,1.447367495,1.352586437,1.660042066,2.094426312,2.183747405,1.798642253,1.294838383,1.072534355,1.051872473,2.032674953,2.458445542,2.72783675,3.385036132,3.720982847,3.282464196,2.884067203,3.12491523,3.969723312,3.46443083,3.789824765,2.243232294,2.254133674
_1013_NIR_V1_O0402.tif,3.304922951,3.187269564,1.072099631,1.811670967,1.623646853,0.151327022,0.045788366,U.S. No. 1,3.153595929,0.047985546,4.554459271,0,0,0.719081954,0.837035416,0.98913033,0.855574318,1.054400476,1.161825259,1.248300076,1.343843196,1.463077905,1.556425143,1.637585161,1.72120727,1.779572491,1.810560147,1.811670967,1.781084467,1.707423305,1.61280071,1.493978674,1.352871453,1.146608656,0.895239121,0.683071449,0.802713488,0.356304083,0.273235952,0.194919972,0.159336735,0,5.35436738,7.416795214,7.504035293,4.148459081,3.519169545,3.226027426,2.42394395,2.518049657,2.693666477,3.14034191,2.520564164,1.579049498,1.944470694,1.590900522,1.270602531,0.952592788,0.57917675,0.885326507,2.002952843,1.166566649,1.908048241,1.831124573,2.077848358,5.770225199,0.983101179,0.823802641,0.688408342,0.827056399,2.548095493
_1013_NIR_V1_O0403.tif,4.999288948,4.882126947,1.08389407,1.888654387,2.185573855,0.525197891,0.105054518,U.S. No. 1,4.474091057,0.1173865,7.319147997,0,0,0.333303568,0.595847488,0.868027774,1.116427475,1.327559375,1.477618867,1.62546899,1.755015929,1.826779715,1.860544246,1.880801832,1.888654387,1.858929121,1.805062979,1.736547707,1.64195893,1.519980447,1.368895481,1.181850305,0.991986554,0.798880514,0.620666202,0.489505702,0.396986792,0.322705165,0.247094785,0.183598957,0.140901187,0,2.053221903,3.586300593,4.339643345,2.850813781,1.315654305,1.09622159,1.488013076,1.030175267,1.088799983,1.193014944,1.463246063,1.941789414,2.232342871,2.265179258,2.570537223,2.68983979,2.72412618,2.20013939,1.89886004,2.025989632,2.029186466,1.611735454,1.094178815,0.571037484,0.614912528,0.684675267,0.775707707,0.834561278,1.795353702
_1013_NIR_V1_O0404.tif,6.404530986,5.512550917,1.182506973,3.646373122,1.471575369,0.0593016,0.00925932,Cull,6.345229386,0.009345856,17.11204843,0,0,0.381005857,0.722609892,1.118724025,1.548060595,1.821646101,2.052845492,2.238647809,2.333481342,2.368132783,2.863297082,2.236301049,2.8899639,2.041566342,2.000424741,1.992768547,1.937813406,3.027428525,2.393532899,3.646373122,2.613303468,2.841875542,2.423116106,2.20534508,1.949926019,1.752452518,1.684484758,1.382534869,1.117211468,0,1.797300536,3.076614956,4.485634424,4.650266586,5.784466918,5.71937089,5.600096906,5.069410367,7.008275187,13.80263466,4.498700287,14.20207984,3.261748713,2.451854199,2.350989961,3.725618974,18.92313334,11.28269495,25.649373,12.50457573,9.143188646,6.423743846,5.572669285,5.971436534,7.868609204,11.49700215,10.91786459,10.64851539,7.995995359
_1013_NIR_V1_O0405.tif,7.916838427,7.640631871,1.077121489,1.430273213,4.859017686,0.431142615,0.054458938,Cull,7.485695812,0.05759553,7.380026668,0,0,0.105487087,0.221131553,0.399206041,0.549873997,0.618263814,0.684673965,0.803758819,0.882856682,0.953574322,0.995030223,1.052634809,1.109584771,1.147780446,1.201025387,1.274158736,1.329587834,1.373778449,1.411933807,1.430273213,1.427026688,1.388356886,1.326534002,1.259890302,1.170451464,0.990397611,0.762030284,0.475647368,0.237186907,0,0.223007241,0.415248546,0.76112743,0.549409384,0.382936554,0.618952463,1.093408657,0.932290209,0.857939415,0.762854459,0.666627957,0.572558021,0.787222495,0.887755809,0.590942189,0.703942811,0.780149386,0.605193534,0.722341596,0.843977634,0.835417515,0.816568011,0.806094373,0.87680906,1.673360761,3.262888815,2.517222393,1.12936533,0.916986145
_1013_NIR_V1_O0406.tif,6.38799532,6.156573005,1.131487009,1.133998535,3.705431521,1.633539051,0.255720139,Cull,4.754456269,0.343580624,3.572034948,0,0,0.141959036,0.23626906,0.403595831,0.586609475,0.727557831,0.843983488,0.955961729,1.036484128,1.093712143,1.116886931,1.122634338,1.121725146,1.128755243,1.133998535,1.117170253,1.048397336,0.936323679,0.748447479,0.557532381,0.45476521,0.435369529,0.431962912,0.441331241,0.440210205,0.397262896,0.298558143,0.191081918,0.121117995,0,0.611714686,0.653527367,0.672156901,0.743390028,0.760857674,0.795078689,0.699892544,0.693103982,0.291967808,0.227089079,0.228821332,0.395548724,0.585577385,0.182570741,0.474681505,0.557092193,0.839330261,0.613581517,0.685772921,0.914885435,0.055587594,0.254201637,0.323237933,0.400193503,0.414458354,0.727223132,0.49163912,0.378106988,0.523974608
_1013_NIR_V1_O0407.tif,4.180449966,4.061942526,1.082950037,1.517044854,2.300051194,0.401733162,0.096098067,Cull,3.778716804,0.106314705,3.945661923,0,0,0.09451538,0.165408892,0.270777184,0.375732711,0.456080614,0.521189902,0.588996117,0.669784668,0.799698025,0.94773582,1.093553279,1.239827556,1.357682721,1.43619576,1.488184504,1.517044854,1.499608736,1.464132419,1.419598341,1.360216455,1.29617035,1.213414279,1.092434383,0.961302131,0.855174475,0.748490577,0.51490249,0.318005088,0,0.333578421,0.543327291,0.771840417,0.980214603,1.051572882,0.880049165,0.926474443,1.051725966,1.739093341,1.694683001,1.626719903,1.553010697,1.153130647,0.890263818,0.411511959,0.219910642,1.003531835,1.108784239,0.844192091,1.531596241,1.680479198,2.495745337,2.241900209,2.388832585,4.033943957,5.154838143,4.446387782,3.000134313,1.634195469
_1013_NIR_V1_O0408.tif,8.237570841,6.914467307,1.21924311,2.89798306,2.179673047,0.536032061,0.065071618,Cull,7.70153878,0.069600644,22.07313946,0,0,0.317353447,0.465052881,0.685677504,0.977188776,1.294978861,1.694401724,2.076103637,2.193056509,2.391251822,2.52768225,2.622337039,2.734386101,2.831613989,2.888487927,2.89798306,2.858737178,2.788421378,2.698430054,2.58123011,2.472860862,2.333951073,2.18980949,1.965467914,1.702764274,1.405819525,1.06037765,0.657975569,0.351601209,0,2.96631132,3.696834883,5.235740827,7.208612192,9.719344807,12.3824903,14.58724775,11.98736286,11.66761191,9.345377335,7.51386759,6.824097646,6.443298066,6.083438089,5.623673586,5.02207491,4.829715714,4.299604146,4.161599617,4.3202974,4.267543886,3.776293978,3.144767598,2.272456064,3.412180329,4.220755731,2.92936271,1.548014909,6.053213434
